2386,2387,2388,2389
5,5,5,5
81,81,81,81
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
7,7,7,7
81,81,81,81
2208,1976,2445,1743
5418,5569,4893,4603
8547,9928,7977,5895
11566,13209,10335,9443
15890,16522,14479,12556
19434,20220,18696,15166
23000,24035,23077,18400
26282,26901,26209,20882
30322,30469,30012,22634
34604,34673,32593,26495
36784,36876,34454,27095
40160,40152,38768,29494
43337,44054,41945,32406
46509,47516,45725,35442
50725,50254,49130,38560
52691,52832,52536,41408
55462,56421,53725,45614
58783,57575,57050,49147
61836,60233,61095,51631
65962,63914,64716,54793
68025,65689,67861,56566
71889,69476,68828,59179
75621,73288,71904,61623
79345,76988,74096,64431
83168,79926,77405,66319
84875,83432,82007,69058
88408,86329,84545,71444
91674,90053,87338,74641
93120,93010,90856,78026
95787,97307,94403,80770
97897,1.0107e+05,98337,84167
1.0105e+05,1.0384e+05,1.0236e+05,85906
1.0484e+05,1.0499e+05,1.0611e+05,88826
1.0945e+05,1.0849e+05,1.082e+05,96113
1.1308e+05,1.121e+05,1.1071e+05,98402
1.1736e+05,1.1591e+05,1.1214e+05,1.0163e+05
1.2115e+05,1.1818e+05,1.1584e+05,1.0533e+05
1.2496e+05,1.212e+05,1.197e+05,1.0823e+05
1.2932e+05,1.2541e+05,1.214e+05,1.1149e+05
1.331e+05,1.2865e+05,1.2518e+05,1.144e+05
1.3649e+05,1.3306e+05,1.2782e+05,1.1854e+05
1.3951e+05,1.3645e+05,1.2993e+05,1.2326e+05
1.4087e+05,1.4078e+05,1.3269e+05,1.263e+05
1.4275e+05,1.4396e+05,1.3592e+05,1.3017e+05
1.4553e+05,1.5047e+05,1.3894e+05,1.3154e+05
1.482e+05,1.5226e+05,1.3996e+05,1.3428e+05
1.4939e+05,1.5528e+05,1.4213e+05,1.3521e+05
1.5144e+05,1.5865e+05,1.4483e+05,1.3847e+05
1.5377e+05,1.6175e+05,1.4721e+05,1.4201e+05
