5275,5276,5277,5278,5279,5280,5281,5282,5283,5284,5285,5286
10,11,8,10,10,8,8,8,8,8,11,8
74,74,74,74,74,74,74,74,74,74,74,74
9,5,1,5,4,12,3,1,8,0,9,11
82,85,82,81,77,84,78,81,83,0,81,80
2.348e+05,3.225e+05,2.244e+05,2.506e+05,1.18e+05,3.063e+05,1.744e+05,2.412e+05,3.127e+05,0,2.551e+05,2.582e+05
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
12,12,12,12,12,12,12,12,12,12,12,12
74,74,74,74,74,74,74,74,74,74,74,74
5729,1636,10380,4337,4792,11942,12328,11463,13568,13065,2034,12835
10016,5682,15564,7956,10332,16761,18907,16450,18178,16831,7373,16809
14565,10217,19601,13072,16491,21549,24341,20771,22138,22455,14300,21972
18664,14689,23838,17184,20919,26344,29586,25025,27157,26319,20699,26567
22342,20265,29086,22481,26291,31819,34052,30236,32157,31918,27833,31114
24981,26004,34495,27833,31833,36695,38132,34966,36601,37063,34025,36410
28333,31422,38716,33324,35635,41427,41549,39604,40794,41685,39594,41369
32011,36854,43708,39142,40706,45924,46062,45377,45177,46957,45818,46301
36096,42317,48793,45347,45541,50521,50630,51639,50251,52814,52245,51731
39373,47050,53493,50051,49779,54753,55029,56795,55253,57269,58530,56604
42175,50055,57616,53986,53347,57983,59283,60391,59514,60945,62435,60350
43183,55550,61404,58128,57535,62064,64020,64638,63232,65416,66758,64145
44587,61006,63505,61591,61565,66734,68300,68660,67630,68977,70590,66616
47706,66380,67558,66004,66793,70685,72240,73220,71793,74050,75141,70852
52044,69779,70171,71193,71396,75161,76960,77369,76344,78430,79929,74379
54056,75191,74781,75118,75746,79381,80797,81950,78388,81601,83943,77795
57582,80209,78411,79537,79817,84171,85163,86706,80357,86170,88333,82572
60188,84882,81988,83576,83784,86227,89200,91178,85532,90561,92570,86900
62855,89465,86152,87775,88230,88340,93738,95524,89572,94173,95706,90270
65884,93569,88758,92221,91319,91938,97347,99684,92962,97742,98748,94117
68643,96905,90649,96853,94237,95296,1.0091e+05,1.0382e+05,96566,1.0079e+05,1.0185e+05,97721
71791,1.0091e+05,92952,1.0169e+05,96811,98701,1.0491e+05,1.0771e+05,99804,1.0324e+05,1.0517e+05,1.0073e+05
75894,1.0341e+05,95545,1.0529e+05,99611,1.0252e+05,1.0925e+05,1.11e+05,1.0336e+05,1.0769e+05,1.089e+05,1.0561e+05
81090,1.0554e+05,97672,1.0851e+05,1.0346e+05,1.0502e+05,1.1285e+05,1.1317e+05,1.0724e+05,1.0963e+05,1.1152e+05,1.0768e+05
85295,1.0766e+05,99478,1.113e+05,1.0538e+05,1.0729e+05,1.1608e+05,1.1544e+05,1.1049e+05,1.1148e+05,1.1439e+05,1.1017e+05
89366,1.0991e+05,1.0167e+05,1.1577e+05,1.0885e+05,1.1004e+05,1.1926e+05,1.1816e+05,1.1488e+05,1.1368e+05,1.1746e+05,1.1267e+05
93491,1.1218e+05,1.0376e+05,1.1926e+05,1.1196e+05,1.1245e+05,1.2297e+05,1.2111e+05,1.1888e+05,1.1576e+05,1.2038e+05,1.1613e+05
96462,1.1422e+05,1.0549e+05,1.2319e+05,1.1507e+05,1.1468e+05,1.2617e+05,1.2327e+05,1.2327e+05,1.1766e+05,1.2255e+05,1.1817e+05
1.0052e+05,1.1658e+05,1.0793e+05,1.2583e+05,1.1799e+05,1.1706e+05,1.2995e+05,1.2587e+05,1.2856e+05,1.1978e+05,1.2626e+05,1.2153e+05
1.0517e+05,1.1854e+05,1.0995e+05,1.2966e+05,1.198e+05,1.1907e+05,1.3348e+05,1.2824e+05,1.3278e+05,1.2168e+05,1.2896e+05,1.2443e+05
1.0868e+05,1.211e+05,1.1183e+05,1.3301e+05,1.2333e+05,1.2177e+05,1.3626e+05,1.3046e+05,1.3697e+05,1.238e+05,1.3164e+05,1.2673e+05
1.1304e+05,1.2332e+05,1.136e+05,1.374e+05,1.2691e+05,1.2404e+05,1.3977e+05,1.3372e+05,1.4073e+05,1.2737e+05,1.3426e+05,1.2996e+05
1.1707e+05,1.2509e+05,1.1563e+05,1.41e+05,1.2997e+05,1.2651e+05,1.438e+05,1.373e+05,1.4323e+05,1.3075e+05,1.3701e+05,1.3302e+05
1.2084e+05,1.2758e+05,1.1766e+05,1.4611e+05,1.3329e+05,1.2924e+05,1.4787e+05,1.4098e+05,1.4629e+05,1.3538e+05,1.3974e+05,1.3581e+05
1.2268e+05,1.3077e+05,1.1953e+05,1.4885e+05,1.3731e+05,1.3175e+05,1.5208e+05,1.4442e+05,1.4935e+05,1.3828e+05,1.4312e+05,1.392e+05
1.2466e+05,1.3392e+05,1.2174e+05,1.5325e+05,1.4191e+05,1.3416e+05,1.562e+05,1.4756e+05,1.514e+05,1.4081e+05,1.4612e+05,1.437e+05
1.2714e+05,1.3811e+05,1.237e+05,1.5734e+05,1.4673e+05,1.3721e+05,1.6056e+05,1.5104e+05,1.5439e+05,1.4371e+05,1.4984e+05,1.4749e+05
1.288e+05,1.422e+05,1.2607e+05,1.6138e+05,1.5159e+05,1.4e+05,1.6502e+05,1.5448e+05,1.5755e+05,1.4622e+05,1.5323e+05,1.5192e+05
1.3088e+05,1.458e+05,1.2822e+05,1.6562e+05,1.5599e+05,1.4272e+05,1.6923e+05,1.5743e+05,1.6065e+05,1.4859e+05,1.5657e+05,1.5657e+05
1.3331e+05,1.4946e+05,1.3057e+05,1.6954e+05,1.6101e+05,1.4545e+05,1.7264e+05,1.6082e+05,1.644e+05,1.5088e+05,1.5973e+05,1.6211e+05
1.3545e+05,1.5334e+05,1.3267e+05,1.7397e+05,1.6556e+05,1.4821e+05,1.7741e+05,1.644e+05,1.6804e+05,1.536e+05,1.6379e+05,1.6804e+05
1.3749e+05,1.569e+05,1.3449e+05,1.7765e+05,1.6941e+05,1.5025e+05,1.8137e+05,1.6767e+05,1.7058e+05,1.5571e+05,1.6702e+05,1.7316e+05
1.3958e+05,1.6095e+05,1.3647e+05,1.81e+05,1.7252e+05,1.5275e+05,1.8542e+05,1.711e+05,1.7308e+05,1.5814e+05,1.7124e+05,1.7895e+05
1.4188e+05,1.6469e+05,1.3863e+05,1.8456e+05,1.7756e+05,1.552e+05,1.8926e+05,1.7411e+05,1.7574e+05,1.6064e+05,1.7483e+05,1.8452e+05
1.4336e+05,1.6866e+05,1.4074e+05,1.8838e+05,1.81e+05,1.5717e+05,1.9264e+05,1.7704e+05,1.7846e+05,1.6282e+05,1.7812e+05,1.8892e+05
1.4547e+05,1.7245e+05,1.4349e+05,1.9278e+05,1.8624e+05,1.6028e+05,1.9702e+05,1.8051e+05,1.816e+05,1.6579e+05,1.8253e+05,1.9415e+05
1.4719e+05,1.7596e+05,1.4627e+05,1.9486e+05,1.9039e+05,1.6372e+05,1.9978e+05,1.836e+05,1.8455e+05,1.6862e+05,1.8574e+05,1.988e+05
1.4939e+05,1.7978e+05,1.4905e+05,1.9719e+05,1.946e+05,1.6742e+05,2.0311e+05,1.8696e+05,1.8777e+05,1.7255e+05,1.8934e+05,2.0398e+05
1.5154e+05,1.8359e+05,1.5121e+05,1.9945e+05,1.9897e+05,1.7071e+05,2.0646e+05,1.9023e+05,1.9111e+05,1.7615e+05,1.9252e+05,2.081e+05
1.533e+05,1.872e+05,1.5357e+05,2.0178e+05,2.0399e+05,1.7406e+05,2.0914e+05,1.931e+05,1.9386e+05,1.7932e+05,1.9558e+05,2.1269e+05
1.5556e+05,1.9153e+05,1.5717e+05,2.0608e+05,2.0753e+05,1.7711e+05,2.123e+05,1.965e+05,1.9743e+05,1.8204e+05,1.9822e+05,2.171e+05
1.5788e+05,1.9533e+05,1.605e+05,2.088e+05,2.1107e+05,1.7999e+05,2.1584e+05,2.003e+05,2.0076e+05,1.8587e+05,2.0079e+05,2.2237e+05
1.606e+05,1.9809e+05,1.63e+05,2.1157e+05,2.1445e+05,1.8351e+05,2.1899e+05,2.0395e+05,2.0554e+05,1.8908e+05,2.0289e+05,2.2766e+05
1.633e+05,2.0124e+05,1.6469e+05,2.1324e+05,2.16e+05,1.8571e+05,2.2057e+05,2.0658e+05,2.0847e+05,1.9109e+05,2.0437e+05,2.2963e+05
1.6683e+05,2.0449e+05,1.6694e+05,2.1491e+05,2.1763e+05,1.8798e+05,2.2223e+05,2.0817e+05,2.1246e+05,1.9233e+05,2.059e+05,2.3119e+05
1.6987e+05,2.0815e+05,1.6942e+05,2.1656e+05,2.1855e+05,1.9008e+05,2.2323e+05,2.0916e+05,2.1383e+05,1.9295e+05,2.0718e+05,2.3251e+05
1.7149e+05,2.0971e+05,1.6968e+05,2.1692e+05,2.1855e+05,1.9259e+05,2.2488e+05,2.1057e+05,2.1383e+05,1.9465e+05,2.0835e+05,2.3406e+05
1.7191e+05,2.1129e+05,1.7011e+05,2.1723e+05,2.1912e+05,1.9466e+05,2.2659e+05,2.1192e+05,2.1519e+05,1.9625e+05,2.1074e+05,2.3609e+05
1.7357e+05,2.1355e+05,1.7267e+05,2.192e+05,2.2112e+05,1.974e+05,2.2966e+05,2.1399e+05,2.1854e+05,1.9873e+05,2.1253e+05,2.3766e+05
1.7593e+05,2.1696e+05,1.7615e+05,2.2049e+05,2.232e+05,1.9966e+05,2.3215e+05,2.1589e+05,2.2044e+05,2.004e+05,2.1389e+05,2.3998e+05
1.7818e+05,2.193e+05,1.7864e+05,2.2239e+05,2.259e+05,2.034e+05,2.355e+05,2.1906e+05,2.229e+05,2.0246e+05,2.1637e+05,2.4284e+05
1.7985e+05,2.2082e+05,1.8096e+05,2.2444e+05,2.2758e+05,2.0566e+05,2.3774e+05,2.2099e+05,2.2529e+05,2.0494e+05,2.1766e+05,2.4438e+05
1.8174e+05,2.2242e+05,1.8305e+05,2.2702e+05,2.2939e+05,2.0718e+05,2.3971e+05,2.2338e+05,2.2772e+05,2.0796e+05,2.202e+05,2.4653e+05
1.8358e+05,2.2368e+05,1.8513e+05,2.2934e+05,2.3161e+05,2.0886e+05,2.4191e+05,2.2496e+05,2.3001e+05,2.1076e+05,2.2313e+05,2.4859e+05
1.8539e+05,2.255e+05,1.8665e+05,2.319e+05,2.3376e+05,2.1112e+05,2.4423e+05,2.2746e+05,2.3171e+05,2.1255e+05,2.2526e+05,2.5064e+05
1.8678e+05,2.2679e+05,1.8859e+05,2.3388e+05,2.3584e+05,2.1274e+05,2.4603e+05,2.2935e+05,2.3326e+05,2.1474e+05,2.2679e+05,2.5296e+05
1.8739e+05,2.2728e+05,1.8957e+05,2.3446e+05,2.3648e+05,2.1339e+05,2.4716e+05,2.3055e+05,2.341e+05,2.1547e+05,2.2788e+05,2.5369e+05
1.891e+05,2.2835e+05,1.9172e+05,2.3611e+05,2.3825e+05,2.1543e+05,2.4924e+05,2.3264e+05,2.3548e+05,2.1615e+05,2.2939e+05,2.5525e+05
1.9136e+05,2.2988e+05,1.9392e+05,2.3796e+05,2.3976e+05,2.1748e+05,2.5175e+05,2.3519e+05,2.3754e+05,2.185e+05,2.3132e+05,2.5715e+05
1.9189e+05,2.3156e+05,1.9612e+05,2.3976e+05,2.4169e+05,2.2036e+05,2.5346e+05,2.3791e+05,2.4045e+05,2.2098e+05,2.3398e+05,2.5819e+05
1.9379e+05,2.3297e+05,1.9792e+05,2.4122e+05,2.4334e+05,2.2221e+05,2.5523e+05,2.3957e+05,2.421e+05,2.2272e+05,2.3603e+05,2.6082e+05
1.9567e+05,2.3453e+05,2.0053e+05,2.4292e+05,2.4503e+05,2.2465e+05,2.5765e+05,2.4117e+05,2.4454e+05,2.2419e+05,2.3839e+05,2.6241e+05
