5297,5298,5299,5300,5301,5302,5303,5304,5305,5306,5307,5308,5309,5310,5311,5312,5313,5314,5315,5316,5317,5318,5319,5320,5321,5322,5323,5324,5325,5326,5327,5328,5329,5330,5331,5332,5333
8,8,8,8,8,8,8,8,7,8,8,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,8
75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
4,0,9,9,12,2,12,2,6,7,4,1,9,12,7,8,6,3,12,11,12,7,4,2,10,4,8,0,1,3,0,2,1,0,2,6,0
79,0,79,80,78,78,81,82,83,79,81,80,82,80,81,84,81,85,80,77,81,84,81,85,82,83,82,0,82,82,0,83,82,0,84,79,0
1.534e+05,0,2.091e+05,2.15e+05,1.686e+05,1.288e+05,2.859e+05,2.9e+05,3.873e+05,2.354e+05,2.512e+05,2.261e+05,3.001e+05,2.466e+05,2.725e+05,3.286e+05,2.6e+05,3.586e+05,2.747e+05,1.213e+05,2.924e+05,3.632e+05,2.115e+05,3.249e+05,2.631e+05,2.992e+05,2.676e+05,0,2.706e+05,2.641e+05,0,2.815e+05,2.574e+05,0,3.338e+05,1.775e+05,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.934e+05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
2353,129,3246,532,1667,1758,2486,2145,4091,3146,916,1137,2626,182,2539,1640,2412,2033,2372,2487,1954,741,1462,1321,1533,921,1364,1277,1106,554,463,1325,961,1914,1978,432,871
6299,4372,8016,5916,4314,7086,7110,6807,8938,3146,916,1137,2626,182,2539,1640,2412,2033,2372,2487,1954,741,1462,1321,1533,921,1364,1277,1106,554,463,1325,961,1914,1978,432,871
10479,9064,12892,10924,7665,11997,12380,12693,13106,13075,10748,5791,11481,8242,9970,11190,13436,10688,13604,11660,13579,9059,7143,6770,6609,7380,7081,6620,6407,6372,3163,5183,5970,6753,5570,5527,4733
15201,13846,18412,15369,11590,16741,18002,18325,18056,18494,15909,8352,15471,12559,11533,14683,18030,13795,19068,15498,17056,14100,8677,8604,8653,9509,8946,8730,8679,8578,4987,7667,7353,7787,8486,7298,6786
20326,18251,23993,21457,15095,21575,23211,24463,23419,23495,22365,9384,21237,16453,16321,19468,19377,19005,24388,20069,21365,18918,10942,11247,10508,12449,11514,11215,11445,11010,7882,9217,11087,10979,11735,9206,10061
24898,22725,29378,26568,18735,26537,29290,30362,28431,29148,27533,12897,24740,20700,20609,25149,26008,22665,29450,24395,25807,23108,12787,13704,13053,15030,13806,13429,13921,13690,10654,11352,14114,13715,13366,10963,12544
29349,27843,33604,29790,22240,31036,33696,35816,31299,34080,32306,17418,28501,24325,24500,29625,30509,26902,34842,28369,29375,27409,14576,16067,14974,17567,15936,15276,16558,16763,12065,14436,16844,16304,14916,13368,14259
33304,32508,39581,35774,25886,36239,39938,41014,35441,40138,37543,22357,32356,29159,28920,34460,36728,30402,40905,33143,34463,31460,17044,18758,17804,20419,18488,17840,19537,19980,13603,17978,19756,19041,16765,16223,16174
37631,37003,44432,41134,29658,41101,46165,47947,40007,45888,43245,27340,37944,33100,33296,38635,42302,34180,46814,37608,38932,36282,18927,21050,20037,23425,20990,20108,22275,23226,15158,21375,23176,21054,18795,19257,17339
42428,41817,49761,46535,34096,45691,52225,53176,44504,50398,48650,33115,43040,37575,37959,43918,47290,37154,52613,42295,43930,40469,21015,23443,22202,26063,23276,22403,24451,26114,16445,24537,25884,23030,20698,21697,18307
47023,47203,54512,51614,38604,51400,57879,59350,50090,55350,53953,38620,48426,42110,43040,49340,50813,42275,58957,47933,48757,45028,22165,26098,24999,29057,25572,24934,26478,27817,17355,25597,27163,24120,23195,24464,19741
52571,52571,60814,55387,44663,56715,62742,64617,54365,60494,58807,43655,51679,46706,48660,54334,55445,47250,64996,53880,53809,49282,22229,29844,26701,31858,27732,27237,27948,27951,19423,25749,27772,25365,26406,27144,22418
58696,57887,67007,59683,50579,61330,68192,69681,58832,65011,64183,48800,55869,51669,53932,59744,60653,52419,71098,59851,58877,54088,22498,33414,28662,35011,30169,29509,29627,28220,19423,26734,27772,27003,29750,29955,26267
62776,62468,71339,64573,53420,65323,72749,74906,62805,70746,68293,53058,60953,56638,57734,64266,64162,56702,74822,62573,63720,58250,25011,37106,31796,38298,32928,32440,32625,30776,21831,28492,30682,29012,32815,33372,28409
66347,66738,76195,68913,58981,69707,77230,77965,67552,75980,73107,58063,65454,59330,62872,68957,68280,60542,78855,66707,68805,62577,27881,39918,35284,42973,37959,37632,37829,35152,25938,32050,32384,33113,37008,37657,32314
69260,71023,79982,72249,64007,72720,81541,81318,72197,82196,76951,61403,69366,63282,68111,72642,72367,64819,83135,71273,73835,67105,31338,41607,38980,48342,42912,43018,43122,39983,31050,36392,34404,37443,42211,43094,35709
72025,75818,84298,76424,69358,77145,86337,85770,77459,88723,80710,66120,73911,66169,73755,76320,75874,68360,87943,75348,79124,70757,34405,43354,42903,53361,47538,48215,48619,45213,36085,40564,36695,40468,47340,47837,39692
74323,79929,89044,79567,74329,81364,90309,88678,82572,94738,84647,70146,77840,69075,78879,79149,78936,72622,92863,80419,84381,74287,37745,46866,47807,58000,52043,53639,53726,50048,40050,44537,39058,44410,52138,52209,43677
76684,83721,92851,83337,78810,84473,93702,90345,88021,1.0093e+05,87872,75557,82566,71528,84219,82135,82387,76528,97533,84894,88799,78173,40739,49790,51353,63326,56658,58881,59019,54167,44737,47911,41131,47759,56666,56062,47239
79403,88008,96988,87297,82432,88591,98666,94872,94172,1.0754e+05,92231,81335,87703,74384,90271,85381,86078,80947,1.0253e+05,89918,93368,81856,44294,52117,55587,68019,60778,63504,64543,59679,49672,51637,42856,52047,61914,59972,52644
82093,91941,1.0054e+05,90624,87401,93301,1.0292e+05,98755,99717,1.1307e+05,96005,86389,92887,76685,96006,87449,90661,85306,1.073e+05,94468,98382,85345,47703,54510,59590,72163,65315,68860,69679,65040,54218,55359,45273,55208,65456,64158,57502
84579,95928,1.0454e+05,93889,92433,97651,1.0779e+05,1.0287e+05,1.0591e+05,1.1925e+05,99621,92023,98455,79201,1.0203e+05,90258,94637,89965,1.1287e+05,98670,1.0366e+05,89024,51193,56197,63764,77576,69885,74720,73384,69928,59478,59125,49044,57410,70291,68264,62382
88054,1.004e+05,1.0858e+05,98082,97773,1.0181e+05,1.131e+05,1.0672e+05,1.1146e+05,1.2554e+05,1.0465e+05,96269,1.0242e+05,81849,1.042e+05,94674,98225,94795,1.1651e+05,1.0314e+05,1.0911e+05,92732,54070,60121,69036,81747,75412,78803,78759,75191,63168,62636,53750,58843,75081,73335,67428
90206,1.0388e+05,1.1289e+05,1.0264e+05,1.0315e+05,1.0744e+05,1.1797e+05,1.1089e+05,1.1767e+05,1.2968e+05,1.0888e+05,1.0037e+05,1.0719e+05,85422,1.072e+05,98808,1.0196e+05,99391,1.1929e+05,1.0777e+05,1.1527e+05,96956,55620,64643,74136,85699,80115,82133,85281,80198,67077,67019,58250,60459,78049,78417,72655
92421,1.0816e+05,1.169e+05,1.0671e+05,1.0859e+05,1.1134e+05,1.229e+05,1.1541e+05,1.2164e+05,1.3535e+05,1.1301e+05,1.0567e+05,1.1061e+05,88943,1.1182e+05,1.0297e+05,1.0553e+05,1.0431e+05,1.2332e+05,1.1163e+05,1.2007e+05,1.0086e+05,57681,69912,80184,90670,85585,86435,91183,85956,71450,69749,62843,63041,82546,83547,76831
95127,1.1187e+05,1.2174e+05,1.1108e+05,1.1211e+05,1.1472e+05,1.2754e+05,1.1911e+05,1.2715e+05,1.3944e+05,1.1766e+05,1.1057e+05,1.1454e+05,94472,1.1643e+05,1.0537e+05,1.1028e+05,1.0755e+05,1.2692e+05,1.1653e+05,1.2506e+05,1.052e+05,61760,71499,83111,96056,88414,90263,97588,91537,75397,75155,66996,64331,86918,88523,81968
98290,1.1553e+05,1.2553e+05,1.1617e+05,1.1622e+05,1.193e+05,1.3236e+05,1.2448e+05,1.324e+05,1.4303e+05,1.2135e+05,1.1563e+05,1.1836e+05,99413,1.2067e+05,1.0797e+05,1.1437e+05,1.1105e+05,1.3023e+05,1.2071e+05,1.2927e+05,1.0992e+05,65492,75070,87331,1.0152e+05,92102,94490,1.0287e+05,95842,79725,80297,72279,65544,91851,93003,85994
1.0094e+05,1.204e+05,1.3046e+05,1.2032e+05,1.2037e+05,1.2241e+05,1.3724e+05,1.2847e+05,1.372e+05,1.4738e+05,1.2621e+05,1.2122e+05,1.2204e+05,1.039e+05,1.252e+05,1.1087e+05,1.1918e+05,1.1523e+05,1.336e+05,1.2495e+05,1.3429e+05,1.143e+05,67959,77722,89988,1.0603e+05,95807,98380,1.0758e+05,99059,83962,84269,76612,66363,96847,97610,89622
1.0424e+05,1.2298e+05,1.3676e+05,1.2441e+05,1.2409e+05,1.2348e+05,1.4315e+05,1.329e+05,1.431e+05,1.5134e+05,1.2987e+05,1.257e+05,1.2634e+05,1.0773e+05,1.2946e+05,1.1321e+05,1.2338e+05,1.1825e+05,1.3671e+05,1.2939e+05,1.3717e+05,1.1875e+05,71505,81732,93447,1.109e+05,99454,1.0151e+05,1.1277e+05,1.0347e+05,88473,87645,81580,68080,1.0093e+05,1.0238e+05,94072
1.0772e+05,1.2651e+05,1.4256e+05,1.2931e+05,1.2798e+05,1.2748e+05,1.4787e+05,1.3774e+05,1.4865e+05,1.5638e+05,1.3242e+05,1.3063e+05,1.2947e+05,1.1206e+05,1.3434e+05,1.1501e+05,1.2722e+05,1.2217e+05,1.4024e+05,1.3245e+05,1.4161e+05,1.2317e+05,75691,84072,96187,1.1542e+05,1.0287e+05,1.0488e+05,1.1768e+05,1.0682e+05,92992,91967,86448,69381,1.0593e+05,1.0768e+05,98802
1.106e+05,1.3001e+05,1.4731e+05,1.3363e+05,1.3134e+05,1.2889e+05,1.5372e+05,1.4249e+05,1.5363e+05,1.6084e+05,1.3572e+05,1.347e+05,1.3329e+05,1.156e+05,1.3838e+05,1.1789e+05,1.3116e+05,1.2553e+05,1.432e+05,1.3552e+05,1.4525e+05,1.278e+05,80633,87908,98642,1.2002e+05,1.059e+05,1.0805e+05,1.227e+05,1.1106e+05,96094,95512,89343,71427,1.0949e+05,1.1192e+05,1.0298e+05
1.1344e+05,1.3447e+05,1.5326e+05,1.3794e+05,1.3564e+05,1.3383e+05,1.6038e+05,1.4706e+05,1.5974e+05,1.6566e+05,1.3966e+05,1.398e+05,1.3775e+05,1.2035e+05,1.4193e+05,1.2086e+05,1.3528e+05,1.3057e+05,1.4633e+05,1.3864e+05,1.5017e+05,1.334e+05,85804,91778,1.0205e+05,1.2563e+05,1.0915e+05,1.1123e+05,1.2887e+05,1.1506e+05,99368,99608,94701,73020,1.1382e+05,1.1733e+05,1.0735e+05
