5257,5258,5259,5260,5261,5262,5263,5264,5265,5266,5267,5268,5269,5270,5271,5272,5273,5274
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
6,2,6,1,3,5,9,9,4,4,5,4,9,2,4,10,9,3
79,76,77,77,77,78,75,76,77,77,77,76,77,78,79,75,77,78
2.424e+05,1.708e+05,2.024e+05,1.89e+05,2.121e+05,2.411e+05,1.847e+05,2.04e+05,2.196e+05,2.127e+05,2.333e+05,2.153e+05,2.81e+05,2.65e+05,3.318e+05,2.054e+05,2.622e+05,2.729e+05
8,2,7,9,11,0,4,0,0,0,0,5,0,0,0,12,4,0
84,84,83,82,84,0,84,0,0,0,0,82,0,0,0,83,83,0
3.849e+05,3.915e+05,3.643e+05,3.616e+05,4.073e+05,0,3.346e+05,0,0,0,0,3.401e+05,0,0,0,4.131e+05,3.832e+05,0
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74
1.1203e+05,1.2265e+05,1.1323e+05,1.1432e+05,1.2689e+05,1.5317e+05,1.5269e+05,1.4679e+05,1.5037e+05,1.486e+05,1.5493e+05,1.6303e+05,1.7721e+05,1.6017e+05,1.7719e+05,1.6025e+05,1.4173e+05,1.4533e+05
1.1522e+05,1.2588e+05,1.1549e+05,1.1834e+05,1.3166e+05,1.5755e+05,1.5694e+05,1.5236e+05,1.5486e+05,1.5301e+05,1.5934e+05,1.6836e+05,1.8209e+05,1.6562e+05,1.774e+05,1.6601e+05,1.4768e+05,1.504e+05
1.1832e+05,1.2892e+05,1.1983e+05,1.2145e+05,1.3552e+05,1.6213e+05,1.6002e+05,1.5547e+05,1.5974e+05,1.5805e+05,1.6435e+05,1.7238e+05,1.874e+05,1.7073e+05,1.774e+05,1.7178e+05,1.5414e+05,1.5587e+05
1.2063e+05,1.3194e+05,1.2292e+05,1.2566e+05,1.3937e+05,1.6546e+05,1.6485e+05,1.6087e+05,1.6406e+05,1.6265e+05,1.6886e+05,1.7605e+05,1.9126e+05,1.742e+05,1.813e+05,1.764e+05,1.5983e+05,1.5996e+05
1.2392e+05,1.364e+05,1.2724e+05,1.2958e+05,1.4301e+05,1.6992e+05,1.701e+05,1.6468e+05,1.6771e+05,1.6797e+05,1.7365e+05,1.8091e+05,1.9623e+05,1.791e+05,1.8275e+05,1.8131e+05,1.6595e+05,1.6517e+05
1.2733e+05,1.4181e+05,1.3124e+05,1.3374e+05,1.4759e+05,1.7381e+05,1.7487e+05,1.692e+05,1.7203e+05,1.6865e+05,1.7844e+05,1.8565e+05,2.0125e+05,1.8413e+05,1.8545e+05,1.8591e+05,1.7188e+05,1.7036e+05
1.301e+05,1.46e+05,1.3449e+05,1.3774e+05,1.5108e+05,1.769e+05,1.7843e+05,1.7334e+05,1.7608e+05,1.6973e+05,1.8236e+05,1.891e+05,2.0564e+05,1.8895e+05,1.8922e+05,1.8936e+05,1.766e+05,1.7387e+05
1.3318e+05,1.5067e+05,1.3816e+05,1.4139e+05,1.5409e+05,1.8055e+05,1.8182e+05,1.7763e+05,1.8075e+05,1.7457e+05,1.8594e+05,1.9401e+05,2.102e+05,1.9375e+05,1.9375e+05,1.9465e+05,1.8336e+05,1.7874e+05
1.3648e+05,1.5554e+05,1.4209e+05,1.4555e+05,1.5816e+05,1.8194e+05,1.8468e+05,1.8198e+05,1.8605e+05,1.8008e+05,1.9001e+05,1.9865e+05,2.1247e+05,1.9952e+05,1.9825e+05,1.9911e+05,1.9017e+05,1.8313e+05
1.3943e+05,1.5916e+05,1.4605e+05,1.4857e+05,1.6121e+05,1.8458e+05,1.8468e+05,1.8553e+05,1.8979e+05,1.8447e+05,1.9323e+05,2.0136e+05,2.146e+05,2.0319e+05,2.0152e+05,2.0334e+05,1.9349e+05,1.8638e+05
1.4151e+05,1.6316e+05,1.4922e+05,1.5144e+05,1.6458e+05,1.8609e+05,1.8468e+05,1.8692e+05,1.9133e+05,1.8595e+05,1.9441e+05,2.0276e+05,2.1691e+05,2.041e+05,2.0316e+05,2.0508e+05,1.9434e+05,1.8755e+05
1.4431e+05,1.661e+05,1.5298e+05,1.5439e+05,1.6833e+05,1.8735e+05,1.8627e+05,1.8881e+05,1.93e+05,1.8771e+05,1.9572e+05,2.045e+05,2.1818e+05,2.0542e+05,2.05e+05,2.061e+05,1.9632e+05,1.9006e+05
1.463e+05,1.6784e+05,1.557e+05,1.5681e+05,1.7157e+05,1.8833e+05,1.879e+05,1.9049e+05,1.9447e+05,1.8864e+05,1.9803e+05,2.0748e+05,2.2032e+05,2.0715e+05,2.0834e+05,2.094e+05,1.9951e+05,1.922e+05
1.4869e+05,1.6955e+05,1.5909e+05,1.5914e+05,1.7526e+05,1.895e+05,1.8944e+05,1.912e+05,1.9546e+05,1.8959e+05,2.0055e+05,2.09e+05,2.2155e+05,2.0883e+05,2.0948e+05,2.11e+05,2.0071e+05,1.9376e+05
1.5082e+05,1.7051e+05,1.6241e+05,1.6191e+05,1.7806e+05,1.9124e+05,1.9027e+05,1.9276e+05,1.9712e+05,1.9013e+05,2.0249e+05,2.1198e+05,2.235e+05,2.1042e+05,2.108e+05,2.1244e+05,2.0246e+05,1.9635e+05
1.5404e+05,1.7299e+05,1.651e+05,1.6427e+05,1.8174e+05,1.926e+05,1.924e+05,1.9426e+05,1.9838e+05,1.911e+05,2.0398e+05,2.1392e+05,2.2594e+05,2.1168e+05,2.1339e+05,2.1476e+05,2.0508e+05,2.0027e+05
1.575e+05,1.7577e+05,1.6792e+05,1.6737e+05,1.85e+05,1.9383e+05,1.9313e+05,1.9619e+05,1.9981e+05,1.9231e+05,2.061e+05,2.1531e+05,2.2824e+05,2.1208e+05,2.169e+05,2.1772e+05,2.078e+05,2.0432e+05
1.5927e+05,1.7843e+05,1.703e+05,1.6982e+05,1.8821e+05,1.951e+05,1.9489e+05,1.9806e+05,2.0109e+05,1.9308e+05,2.0788e+05,2.1692e+05,2.2985e+05,2.139e+05,2.1964e+05,2.2073e+05,2.1048e+05,2.0822e+05
