4287,4288,4289,4290,4291,4292,4293,4294,4295,4296
10,10,8,8,10,8,8,10,10,10
74,74,74,74,74,74,74,74,74,74
11,10,2,0,10,0,9,2,10,0
84,78,85,0,78,0,80,79,78,0
2.24e+05,82400,2.372e+05,0,1.064e+05,0,1.715e+05,1.255e+05,1.085e+05,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
12,12,12,12,12,12,12,12,12,12
74,74,74,74,74,74,74,74,74,74
2633,2545,6702,6877,4099,5602,8768,3683,3326,4249
5968,5411,9230,9447,7137,8282,12057,7712,5551,7720
9626,7811,12387,12149,9936,11194,15152,12643,9403,11043
13130,10411,15511,14092,12883,14226,18619,16797,12755,14002
17235,12997,18834,16758,15695,17409,21963,20910,16439,17692
21454,15720,22135,20070,18565,21405,25943,25618,20156,21629
26197,17940,24822,21950,21248,26382,28825,29846,23092,24786
30992,20370,28032,23703,23770,31831,32553,34158,26426,27937
36100,22897,32115,25573,26564,37640,36274,38898,30458,31645
39610,26568,35384,27147,28829,41346,39561,42687,32794,34348
41330,28699,37907,29365,30450,43484,41708,44140,34619,37266
44559,30629,40438,31793,34589,45870,44780,46755,37492,38113
47530,31887,41011,33891,37859,48141,47897,49503,40071,40113
50834,33728,41963,35984,41204,49544,50236,51762,42243,42350
54275,35692,43917,37349,43073,50633,52289,53307,43635,44748
55843,36839,46957,39825,45598,53831,54607,55426,46205,49341
58545,38435,51078,42489,48379,56077,57114,57793,48932,52914
61686,39711,54968,44856,51398,58026,59694,59899,51528,56608
64841,41168,58624,46944,53876,59708,62213,61984,53520,59587
67892,43045,61886,49247,55653,60747,63865,63479,55087,62512
70942,43878,63334,51867,57947,62075,66350,65268,56609,66911
74151,45049,64296,53853,60335,62684,68982,66727,57989,69609
77275,46655,65630,56063,63109,63122,71217,68783,60228,73896
80750,48311,67137,58353,65703,64714,73541,71106,62477,77981
83931,49891,68466,60573,68117,65620,75199,73664,65029,82061
86912,51162,70405,62528,70239,66416,77349,75653,67064,84792
89619,53046,71907,64414,71152,67411,78921,77453,68873,87902
91824,54929,73564,66565,71672,69260,80841,79727,71602,92138
94743,56890,75053,69116,74365,71106,83342,82544,74428,96733
96171,58331,76484,71194,76597,73422,85347,84650,76455,1.0055e+05
97369,60025,78019,72759,78201,76316,88057,86428,78880,1.0428e+05
97706,61054,78505,74015,79428,79697,90644,88354,80952,1.0774e+05
98599,62609,78505,74931,80792,82623,93045,91232,83070,1.1184e+05
98950,63557,78626,76010,82474,85334,96186,93207,85192,1.1552e+05
